iter "mejor iteracion actual" "mejor encontrado"
0 392 439
1 412 442
2 399 442
3 412 442
4 420 442
5 395 442
6 404 442
7 401 442
8 401 442
9 406 442
10 405 442
11 398 442
12 406 442
13 405 442
14 400 442
15 406 444
16 395 444
17 404 444
18 395 444
19 405 444
20 404 444
21 403 444
22 398 444
23 399 444
24 402 444
25 401 444
26 396 444
27 390 444
28 410 444
29 405 444
30 404 444
31 401 444
32 410 444
33 407 444
34 413 444
35 404 444
36 407 445
37 401 445
38 414 445
39 401 445
40 404 445
41 401 445
42 403 445
43 406 445
44 398 445
45 404 445
46 402 445
47 388 445
48 402 445
49 410 445
50 401 445
51 406 445
52 410 445
53 401 445
54 414 445
55 414 445
56 396 445
57 404 445
58 405 445
59 417 445
60 412 445
61 409 445
62 411 445
63 402 445
64 402 445
65 416 445
66 408 445
67 394 445
68 407 445
69 411 445
70 391 445
71 393 445
72 406 445
73 401 445
74 423 445
75 398 445
76 406 445
77 398 445
78 395 445
79 412 445
80 411 445
81 401 445
82 412 445
83 408 445
84 403 445
85 404 445
86 413 445
87 413 445
88 410 445
89 408 445
90 406 445
91 399 445
92 402 445
93 399 445
94 404 445
95 412 445
96 393 445
97 409 445
98 408 445
99 413 445
100 403 445
101 391 445
102 396 445
103 411 445
104 407 445
105 395 445
106 402 445
107 404 445
108 394 445
109 397 445
110 405 445
111 410 445
112 416 445
113 402 445
114 407 445
115 400 445
116 399 445
117 406 445
118 404 445
119 406 445
120 398 445
121 396 445
122 404 445
123 411 445
124 408 445
125 418 445
126 398 445
127 401 445
128 393 445
129 396 445
130 409 445
131 398 445
132 409 445
133 408 445
134 401 445
135 395 445
136 405 445
137 400 445
138 398 445
139 409 445
140 404 445
141 402 445
142 396 445
143 412 445
144 411 445
145 408 445
146 415 445
147 408 445
148 405 445
149 412 445
150 406 445
151 402 445
152 394 445
153 395 445
154 403 445
155 398 445
156 390 445
157 396 445
158 403 445
159 399 445
