iter "mejor iteracion actual" "mejor encontrado"
0 396 426
1 379 426
2 383 426
3 384 426
4 397 426
5 387 426
6 398 426
7 381 426
8 387 426
9 392 426
10 389 426
11 398 426
12 391 426
13 385 426
14 390 426
15 384 426
16 396 426
17 389 426
18 391 426
19 383 426
20 381 426
21 393 426
22 394 426
23 383 426
24 386 426
25 386 426
26 380 426
27 395 426
28 388 426
29 399 426
30 382 426
31 382 426
32 397 426
33 390 426
34 388 426
35 380 426
36 385 426
37 386 426
38 388 426
39 391 426
40 390 426
41 384 426
42 388 426
43 386 426
44 387 426
45 378 426
46 383 426
47 398 426
48 385 426
49 387 426
50 387 426
51 390 426
52 387 426
53 380 426
54 395 426
55 392 426
56 379 426
57 393 426
58 396 426
59 381 426
60 397 426
61 383 426
62 390 426
63 390 426
64 383 426
65 385 426
66 387 426
67 386 426
68 398 426
69 398 426
70 382 426
71 391 426
72 383 426
73 379 426
74 390 426
75 394 426
76 399 426
77 396 426
78 374 426
79 388 426
80 382 426
81 389 426
82 380 426
83 381 426
84 383 426
85 390 426
86 396 426
87 400 426
88 379 426
89 389 426
90 390 426
91 379 426
92 382 426
93 396 426
94 387 426
95 394 426
96 392 426
97 384 426
98 385 426
99 391 426
100 381 426
101 389 426
102 380 426
103 395 426
104 395 426
105 381 426
106 380 426
107 388 426
108 376 426
109 396 426
110 370 426
111 386 426
112 395 426
113 370 426
114 387 426
115 393 426
116 391 426
117 393 426
118 379 426
119 379 426
120 385 426
121 395 426
122 391 426
123 385 426
124 377 426
125 386 426
126 397 426
127 388 426
128 387 426
129 387 426
130 396 426
131 389 426
132 387 426
133 381 426
134 386 426
135 401 426
136 381 426
137 395 426
138 388 426
139 380 426
140 389 426
141 398 426
142 394 426
143 393 426
144 380 426
145 376 426
146 390 426
147 394 426
148 395 426
149 386 426
150 394 426
151 392 426
152 383 426
153 380 426
154 388 426
155 383 426
156 395 426
157 381 426
158 386 426
159 385 426
160 384 426
161 398 426
162 396 426
163 380 426
164 387 426
165 383 426
166 393 426
167 383 426
168 382 426
169 378 426
170 388 426
171 384 426
