iter "mejor iteracion actual" "mejor encontrado"
0 139 155
1 135 155
2 139 155
3 141 155
4 143 155
5 141 155
6 141 155
7 135 159
8 141 159
9 141 159
10 143 159
11 139 159
12 145 159
13 137 159
14 137 159
15 147 159
16 139 159
17 139 159
18 137 159
19 141 159
20 139 159
21 135 159
22 143 159
23 139 159
24 141 159
25 143 159
26 139 159
27 145 159
28 141 159
29 141 159
30 143 159
31 137 159
32 143 159
33 145 159
34 139 159
35 143 159
36 139 159
37 139 159
38 147 159
39 141 159
40 145 159
41 145 159
42 143 159
43 137 159
44 145 159
45 137 159
46 143 159
47 139 159
48 141 159
49 139 159
50 139 159
51 139 159
52 135 159
53 147 159
54 141 159
55 135 159
56 139 159
57 137 159
58 139 159
59 139 159
60 143 159
61 139 159
62 135 159
63 139 159
64 139 159
65 141 159
66 141 159
67 139 159
68 141 159
69 141 159
70 141 159
71 139 159
72 135 159
73 137 159
74 143 159
75 139 159
76 135 159
77 145 159
78 143 159
79 141 159
80 141 159
81 141 159
82 145 159
83 131 159
84 139 159
85 137 159
86 139 159
87 141 159
88 133 159
89 147 159
90 141 159
91 143 159
92 141 159
93 137 159
94 141 159
95 145 159
96 135 159
97 139 159
98 141 159
99 141 159
100 143 159
101 141 159
102 145 159
103 145 159
104 145 159
105 143 159
106 143 159
107 139 159
108 135 159
109 137 159
110 141 159
111 141 159
112 141 159
113 139 159
114 137 159
115 137 159
116 139 159
117 135 159
118 141 159
119 139 159
120 143 159
121 139 159
122 141 159
123 143 159
124 137 159
125 141 159
126 145 159
127 143 159
128 141 159
129 137 159
130 137 159
131 139 159
132 147 159
133 141 159
134 137 159
135 141 159
136 143 159
137 137 159
138 137 159
139 141 159
140 149 159
141 139 159
142 141 159
143 139 159
144 147 159
145 141 159
146 141 159
147 135 159
148 143 159
149 147 159
150 139 159
151 145 159
152 141 159
153 139 159
154 139 159
155 139 159
156 143 159
157 145 159
158 141 159
159 137 159
160 137 159
161 143 159
162 141 159
163 141 159
164 139 159
165 141 159
166 143 159
167 139 159
168 141 159
169 141 159
170 141 159
171 139 159
172 141 159
173 143 159
174 139 159
175 135 159
176 145 159
177 139 159
178 139 159
179 141 159
180 141 159
181 143 159
182 137 159
183 137 159
184 135 159
185 141 159
186 141 159
187 141 159
188 143 159
189 141 159
190 141 159
191 137 159
192 135 159
193 141 159
194 145 159
195 137 159
196 139 159
197 141 159
198 143 159
199 139 159
200 137 159
201 139 159
202 139 159
203 147 159
204 137 159
205 143 159
206 143 159
207 135 159
208 141 159
209 145 159
210 143 159
211 139 159
212 137 159
213 139 159
214 143 159
215 145 159
216 139 159
217 133 159
218 139 159
219 137 159
220 141 159
221 139 159
222 135 159
223 139 159
224 137 159
225 141 159
226 141 159
227 139 159
228 133 159
229 143 159
230 139 159
231 143 159
232 137 159
233 133 159
234 135 159
235 141 159
236 141 159
237 147 159
238 139 159
239 147 159
240 135 159
241 135 159
242 141 159
243 141 159
244 143 159
245 137 159
246 139 159
247 139 159
248 135 159
249 143 159
250 139 159
251 139 159
252 143 159
253 141 159
254 143 159
255 135 159
256 141 159
257 143 159
258 137 159
259 141 159
260 143 159
261 141 159
262 143 159
263 141 159
264 141 159
265 141 159
266 137 159
267 137 159
268 137 159
269 145 159
270 137 159
271 141 159
272 139 159
273 141 159
274 139 159
275 135 159
276 141 159
277 143 159
278 141 159
279 141 159
280 141 159
281 143 159
282 139 159
283 149 159
284 143 159
285 137 159
286 143 159
287 133 159
288 141 159
289 141 159
290 135 159
291 145 159
292 135 159
293 149 159
294 141 159
295 139 159
296 143 159
297 139 159
298 141 159
299 141 159
300 135 159
301 139 159
302 145 159
303 135 159
304 139 159
305 137 159
306 141 159
307 133 159
308 143 159
309 141 159
310 141 159
311 135 159
312 143 159
313 139 159
314 141 159
315 141 159
316 141 159
317 141 159
318 145 159
319 141 159
320 137 159
321 137 159
322 141 159
323 139 159
324 139 159
325 139 159
326 139 159
327 141 159
328 139 159
329 141 159
330 137 159
331 137 159
332 139 159
333 141 159
334 141 159
335 147 159
336 145 159
337 139 159
338 147 159
339 143 159
340 139 159
341 143 159
342 141 159
343 143 159
344 139 159
345 137 159
346 139 159
347 139 159
348 137 159
349 139 159
350 137 159
351 145 159
352 141 159
353 133 159
354 141 159
355 139 159
356 137 159
357 145 159
358 141 159
359 131 159
360 137 159
361 143 159
362 141 159
363 141 159
364 139 159
365 141 159
366 139 159
367 139 159
368 143 159
369 135 159
370 141 159
371 139 159
372 137 159
373 139 159
374 147 159
375 139 159
376 143 159
377 143 159
378 141 159
379 145 159
380 139 159
381 139 159
382 141 159
383 135 159
384 145 159
385 141 159
386 141 159
387 141 159
388 143 159
389 139 159
390 143 159
391 141 159
392 141 159
393 141 159
394 141 159
395 141 159
396 147 159
397 133 159
398 143 159
399 139 159
400 139 159
401 143 159
402 143 159
403 145 159
404 143 159
405 141 159
406 141 159
407 141 159
408 147 159
409 143 159
410 141 159
411 137 159
412 143 159
413 139 159
414 135 159
415 141 159
416 141 159
417 139 159
418 135 159
419 139 159
420 141 159
421 141 159
422 135 159
423 141 159
424 147 159
425 137 159
426 137 159
427 145 159
428 137 159
429 141 159
430 139 159
431 141 159
432 141 159
433 145 159
434 141 159
435 145 159
436 141 159
437 141 159
438 147 159
439 143 159
440 141 159
441 141 159
442 141 159
443 137 159
444 139 159
445 137 159
446 139 159
447 141 159
448 141 159
449 145 159
450 141 159
451 135 159
452 145 159
453 139 159
454 133 159
455 131 159
456 141 159
457 143 159
458 135 159
459 139 159
460 141 159
461 145 159
462 143 159
463 137 159
464 135 159
465 139 159
466 145 159
467 141 159
468 137 159
469 143 159
470 139 159
471 137 159
472 133 159
473 147 159
474 143 159
475 143 159
476 137 159
477 145 159
478 135 159
479 139 159
480 137 159
481 147 159
482 139 159
483 139 159
484 135 159
485 139 159
486 137 159
487 135 159
488 139 159
489 139 159
490 145 159
491 141 159
492 139 159
493 141 159
494 141 159
495 141 159
496 141 159
497 143 159
498 139 159
499 143 159
500 137 159
501 141 159
502 131 159
503 139 159
504 137 159
505 135 159
506 143 159
507 139 159
508 141 159
