iter "mejor iteracion actual" "mejor encontrado"
0 273 296
1 275 296
2 281 296
3 278 296
4 274 296
5 278 296
6 277 296
7 277 297
8 276 297
9 273 297
10 276 297
11 280 297
12 280 297
13 274 297
14 277 297
15 276 297
16 274 297
17 277 297
18 277 297
19 277 297
20 279 297
21 272 297
22 277 297
23 274 297
24 276 298
25 280 298
26 275 298
27 273 298
28 273 298
29 278 298
30 280 298
31 276 298
32 273 298
33 276 298
34 274 298
35 277 298
36 274 298
37 279 298
38 277 298
39 279 298
40 275 298
41 274 298
42 273 298
43 279 298
44 271 298
45 274 298
46 276 298
47 273 298
48 278 298
49 277 298
50 280 298
51 272 298
52 276 298
53 270 298
54 271 298
55 278 298
56 276 298
57 273 298
58 277 298
59 276 298
60 268 298
61 274 298
62 280 298
63 276 298
64 274 298
65 281 298
66 271 298
67 274 298
68 276 298
69 277 298
70 277 298
71 276 298
72 280 298
73 278 298
74 274 298
75 273 298
76 274 298
77 275 298
78 269 298
79 277 298
80 280 298
81 278 298
82 277 298
83 275 298
84 278 298
85 273 298
86 277 298
87 277 298
88 276 298
89 276 298
90 276 298
91 276 298
92 277 298
93 275 298
94 276 298
95 279 298
96 276 298
97 280 298
98 274 298
99 276 298
100 276 298
101 276 298
102 273 298
103 274 298
104 275 298
105 279 298
106 275 298
107 270 298
108 275 298
109 277 298
110 279 298
111 279 298
112 276 298
113 278 298
114 276 298
115 277 298
116 273 298
117 275 298
118 275 298
119 278 298
120 278 298
121 278 298
122 271 298
123 278 298
124 270 298
125 280 298
126 274 298
127 274 298
128 276 298
129 276 298
130 278 298
131 278 298
132 276 298
133 277 298
134 274 298
135 282 298
136 277 298
137 280 298
138 278 298
139 279 298
140 271 298
141 279 298
142 277 298
143 271 298
144 276 298
145 277 298
146 263 298
147 277 298
148 278 298
149 277 298
150 275 298
151 279 298
152 280 298
153 276 298
154 279 298
155 276 298
156 273 298
157 271 298
158 275 298
159 278 298
160 277 298
161 279 298
162 279 298
163 278 298
164 274 298
165 276 298
166 277 298
167 276 298
168 279 298
169 280 298
170 273 298
171 280 298
172 275 298
173 271 298
174 277 298
175 273 298
176 280 298
177 281 298
178 279 298
179 276 298
180 275 298
181 274 298
182 278 298
183 277 298
184 271 298
185 277 298
186 276 298
187 275 298
188 276 298
189 276 298
190 278 298
191 275 298
192 275 299
193 274 299
194 278 299
195 272 299
196 274 299
197 278 299
198 280 299
199 275 299
200 279 299
201 280 299
202 272 299
203 278 299
204 273 299
205 273 299
206 275 299
207 276 299
208 278 299
209 280 299
210 277 299
211 282 299
212 278 299
213 279 299
214 278 299
215 275 299
216 278 299
217 279 299
218 281 299
219 280 299
220 276 299
221 277 299
222 274 299
223 272 299
224 280 299
225 271 299
226 274 299
227 272 299
228 278 299
229 277 299
230 278 299
231 274 299
232 279 299
233 279 299
234 275 299
235 276 299
236 279 299
237 278 299
238 279 299
239 277 299
240 279 299
241 270 299
242 275 299
243 277 299
244 275 299
245 281 299
246 268 299
247 279 299
248 278 299
249 274 299
250 272 299
251 269 299
252 278 299
253 275 299
254 276 299
255 280 299
256 278 299
257 273 299
258 277 299
259 277 299
260 278 299
261 274 299
262 272 299
263 280 299
264 277 299
265 277 299
266 275 299
267 274 299
268 279 299
269 277 299
270 275 299
271 277 299
272 277 299
273 276 299
274 277 299
275 277 299
276 274 299
277 275 299
278 274 299
279 273 299
280 278 299
281 275 299
282 278 299
283 276 299
284 265 299
285 278 299
286 275 299
287 277 299
288 278 299
289 275 299
290 277 299
291 272 299
292 276 299
293 281 299
294 279 299
295 280 299
296 278 299
297 274 299
298 276 299
299 276 299
300 274 299
301 270 299
302 277 299
303 271 299
304 273 299
305 275 299
306 273 299
307 277 299
308 275 299
309 273 299
310 276 299
311 276 299
312 276 299
313 276 299
314 275 299
315 274 299
316 278 299
317 276 299
318 273 299
319 277 299
320 280 299
321 278 299
322 272 299
