iter "mejor iteracion actual" "mejor encontrado"
0 397 397
1 397 397
2 397 397
3 397 397
4 397 397
5 397 397
6 397 397
7 397 397
8 397 397
9 397 397
10 397 397
11 397 397
12 397 397
13 397 397
14 397 397
15 397 397
16 397 397
17 397 397
18 397 397
19 397 397
20 397 397
21 397 397
22 397 397
23 397 397
24 397 397
25 397 397
26 397 397
27 397 397
28 397 397
29 397 397
30 397 397
31 397 397
32 397 397
33 397 397
34 397 397
35 397 397
36 397 397
37 397 397
38 397 397
39 397 397
40 397 397
41 397 397
42 397 397
43 397 397
44 397 397
45 397 397
46 397 397
47 397 397
48 397 397
49 397 397
50 397 397
51 397 397
52 397 397
53 397 397
54 397 397
55 397 397
56 397 397
57 397 397
58 397 397
59 397 397
60 397 397
61 397 397
62 397 397
63 397 397
64 397 397
65 397 397
66 397 397
67 397 397
68 397 397
69 397 397
70 397 397
71 397 397
72 397 397
73 397 397
74 397 397
75 397 397
76 397 397
77 397 397
78 397 397
79 397 397
80 397 397
81 397 397
82 397 397
83 397 397
84 397 397
85 397 397
86 397 397
87 397 397
88 397 397
89 397 397
90 397 397
91 397 397
92 397 397
93 397 397
94 397 397
95 397 397
96 397 397
97 397 397
98 397 397
99 397 397
100 397 397
101 397 397
102 397 397
103 397 397
104 397 397
105 397 397
106 397 397
107 397 397
108 397 397
109 397 397
110 397 397
111 397 397
112 397 397
113 397 397
114 397 397
115 397 397
116 397 397
117 397 397
118 397 397
119 397 397
120 397 397
121 397 397
122 397 397
123 397 397
124 397 397
125 397 397
126 397 397
127 397 397
128 397 397
129 397 397
130 397 397
131 397 397
132 397 397
133 397 397
134 397 397
135 397 397
136 397 397
137 397 397
138 397 397
139 397 397
140 397 397
141 397 397
142 397 397
143 397 397
144 397 397
145 397 397
146 397 397
147 397 397
148 397 397
149 397 397
150 397 397
151 397 397
152 397 397
153 397 397
154 397 397
155 397 397
156 397 397
157 397 397
158 397 397
159 397 397
160 397 397
161 397 397
162 397 397
163 397 397
164 397 397
165 397 397
166 397 397
167 397 397
168 397 397
169 397 397
170 397 397
171 397 397
172 397 397
173 397 397
174 397 397
175 397 397
176 397 397
177 397 397
178 397 397
179 397 397
180 397 397
181 397 397
182 397 397
183 397 397
184 397 397
185 397 397
186 397 397
187 397 397
188 397 397
189 397 397
190 397 397
191 397 397
192 397 397
193 397 397
194 397 397
195 397 397
196 397 397
197 397 397
198 397 397
199 397 397
200 397 397
201 397 397
202 397 397
203 397 397
204 397 397
205 397 397
206 397 397
207 397 397
208 397 397
209 397 397
210 397 397
211 397 397
212 397 397
213 397 397
214 397 397
215 397 397
216 397 397
217 397 397
218 397 397
219 397 397
220 397 397
221 397 397
222 397 397
223 397 397
224 397 397
225 397 397
226 397 397
227 397 397
228 397 397
229 397 397
230 397 397
231 397 397
232 397 397
233 397 397
234 397 397
235 397 397
236 397 397
237 397 397
238 397 397
239 397 397
240 397 397
241 397 397
242 397 397
243 397 397
244 397 397
245 397 397
246 397 397
247 397 397
248 397 397
249 397 397
250 397 397
251 397 397
252 397 397
253 397 397
254 397 397
255 397 397
256 397 397
257 397 397
258 397 397
259 397 397
260 397 397
261 397 397
262 397 397
263 397 397
264 397 397
265 397 397
266 397 397
267 397 397
268 397 397
269 397 397
270 397 397
271 397 397
272 397 397
273 397 397
274 397 397
275 397 397
276 397 397
277 397 397
278 397 397
279 397 397
280 397 397
281 397 397
282 397 397
283 397 397
284 397 397
285 397 397
286 397 397
287 397 397
288 397 397
289 397 397
290 397 397
291 397 397
292 397 397
293 397 397
294 397 397
295 397 397
296 397 397
297 397 397
298 397 397
299 397 397
300 397 397
301 397 397
302 397 397
303 397 397
304 397 397
305 397 397
306 397 397
307 397 397
308 397 397
309 397 397
310 397 397
311 397 397
312 397 397
313 397 397
314 397 397
315 397 397
316 397 397
317 397 397
318 397 397
319 397 397
320 397 397
321 397 397
322 397 397
323 397 397
324 397 397
325 397 397
326 397 397
327 397 397
328 397 397
329 397 397
330 397 397
331 397 397
332 397 397
333 397 397
334 397 397
335 397 397
336 397 397
337 397 397
338 397 397
339 397 397
340 397 397
341 397 397
342 397 397
343 397 397
344 397 397
345 397 397
346 397 397
347 397 397
348 397 397
349 397 397
350 397 397
351 397 397
352 397 397
353 397 397
354 397 397
355 397 397
356 397 397
357 397 397
358 397 397
359 397 397
360 397 397
361 397 397
362 397 397
363 397 397
