iter "mejor iteracion actual" "mejor encontrado"
0 370 370
1 370 370
2 371 371
3 372 372
4 374 374
5 374 374
6 375 375
7 375 375
8 375 375
9 376 376
10 377 377
11 377 377
12 376 377
13 376 377
14 377 377
15 378 378
16 373 378
17 375 378
18 374 378
19 375 378
20 376 378
21 376 378
22 377 378
23 375 378
24 373 378
25 374 378
26 373 378
27 371 378
28 370 378
29 369 378
30 370 378
31 371 378
32 373 378
33 371 378
34 369 378
35 369 378
36 368 378
37 366 378
38 367 378
39 370 378
40 370 378
41 371 378
42 372 378
43 372 378
44 372 378
45 372 378
46 374 378
47 374 378
48 377 378
49 376 378
50 377 378
51 376 378
52 376 378
53 374 378
54 373 378
55 375 378
56 374 378
57 371 378
58 367 378
59 367 378
60 365 378
61 365 378
62 365 378
63 365 378
64 370 378
65 367 378
66 367 378
67 367 378
68 367 378
69 368 378
70 368 378
71 369 378
72 370 378
73 369 378
74 370 378
75 370 378
76 371 378
77 370 378
78 369 378
79 371 378
80 372 378
81 372 378
82 371 378
83 372 378
84 370 378
85 370 378
86 370 378
87 371 378
88 373 378
89 377 378
90 374 378
91 374 378
92 376 378
93 376 378
94 373 378
95 369 378
96 370 378
97 370 378
98 372 378
99 372 378
100 375 378
101 374 378
102 373 378
103 373 378
104 374 378
105 372 378
106 371 378
107 370 378
108 368 378
109 368 378
110 368 378
111 368 378
112 369 378
113 369 378
114 369 378
115 369 378
116 369 378
117 373 378
118 375 378
119 373 378
120 376 378
121 380 380
122 380 380
123 380 380
124 382 382
125 380 382
126 380 382
127 381 382
128 384 384
129 384 384
130 385 385
131 388 388
132 388 388
133 388 388
134 390 390
135 391 391
136 391 391
137 391 391
138 391 391
139 389 391
140 389 391
141 389 391
142 388 391
143 388 391
144 390 391
145 390 391
146 388 391
147 388 391
148 388 391
149 388 391
150 389 391
151 389 391
152 390 391
153 391 391
154 391 391
155 391 391
156 394 394
157 394 394
158 393 394
159 393 394
160 394 394
161 394 394
162 395 395
163 395 395
164 395 395
165 395 395
166 396 396
167 395 396
168 395 396
169 395 396
170 395 396
171 394 396
172 393 396
173 393 396
174 393 396
175 391 396
176 390 396
177 390 396
178 393 396
179 392 396
180 394 396
181 394 396
182 394 396
183 392 396
184 391 396
185 390 396
186 390 396
187 390 396
188 388 396
189 388 396
190 388 396
191 388 396
192 390 396
193 390 396
194 391 396
195 392 396
196 392 396
197 391 396
198 393 396
199 392 396
200 392 396
201 390 396
202 390 396
203 390 396
204 390 396
205 390 396
206 390 396
207 390 396
208 390 396
209 390 396
210 390 396
211 389 396
212 389 396
213 389 396
214 389 396
215 390 396
216 390 396
217 390 396
218 391 396
219 391 396
220 390 396
221 390 396
222 393 396
223 394 396
224 394 396
225 394 396
226 394 396
227 394 396
228 394 396
229 395 396
230 395 396
231 395 396
232 396 396
233 398 398
234 398 398
235 398 398
236 398 398
237 398 398
238 398 398
239 398 398
240 398 398
241 398 398
242 396 398
243 396 398
