iter "mejor iteracion actual" "mejor encontrado"
0 125 125
1 125 125
2 125 125
3 125 125
4 125 125
5 125 125
6 125 125
7 125 125
8 125 125
9 125 125
10 125 125
11 125 125
12 125 125
13 125 125
14 125 125
15 125 125
16 125 125
17 125 125
18 125 125
19 125 125
20 125 125
21 125 125
22 125 125
23 125 125
24 125 125
25 125 125
26 125 125
27 125 125
28 125 125
29 125 125
30 125 125
31 125 125
32 125 125
33 125 125
34 125 125
35 125 125
36 125 125
37 125 125
38 125 125
39 125 125
40 125 125
41 125 125
42 125 125
43 125 125
44 125 125
45 125 125
46 125 125
47 125 125
48 125 125
49 125 125
50 125 125
51 125 125
52 125 125
53 125 125
54 125 125
55 125 125
56 125 125
57 125 125
58 125 125
59 125 125
60 125 125
61 125 125
62 125 125
63 125 125
64 125 125
65 125 125
66 125 125
67 125 125
68 125 125
69 125 125
70 125 125
71 125 125
72 125 125
73 125 125
74 125 125
75 125 125
76 125 125
77 125 125
78 125 125
79 125 125
80 125 125
81 125 125
82 125 125
83 125 125
84 125 125
85 125 125
86 125 125
87 125 125
88 125 125
89 125 125
90 125 125
91 125 125
92 125 125
93 125 125
94 125 125
95 125 125
96 125 125
97 125 125
98 125 125
99 125 125
100 125 125
101 125 125
102 125 125
103 125 125
104 125 125
105 125 125
106 125 125
107 125 125
108 125 125
109 125 125
110 125 125
111 125 125
112 125 125
113 125 125
114 125 125
115 125 125
116 125 125
117 125 125
118 125 125
119 125 125
120 125 125
121 125 125
122 125 125
123 125 125
124 125 125
125 125 125
126 125 125
127 125 125
128 125 125
129 125 125
130 125 125
131 125 125
132 125 125
133 125 125
134 125 125
135 125 125
136 125 125
137 125 125
138 125 125
139 125 125
140 125 125
141 125 125
142 125 125
143 125 125
144 125 125
145 125 125
146 125 125
147 125 125
148 125 125
149 125 125
150 125 125
151 125 125
152 125 125
153 125 125
154 125 125
155 125 125
156 125 125
157 125 125
158 125 125
159 125 125
160 125 125
161 125 125
162 125 125
163 125 125
164 125 125
165 125 125
166 125 125
167 125 125
168 125 125
169 125 125
170 125 125
171 125 125
172 125 125
173 125 125
174 125 125
175 125 125
176 125 125
177 125 125
178 125 125
179 125 125
180 125 125
181 125 125
182 125 125
183 125 125
184 125 125
185 125 125
186 125 125
187 125 125
188 125 125
189 125 125
190 125 125
191 125 125
192 125 125
193 125 125
194 125 125
195 125 125
196 125 125
197 125 125
198 125 125
199 125 125
200 125 125
201 125 125
202 125 125
203 125 125
204 125 125
205 125 125
206 125 125
207 125 125
208 125 125
209 125 125
210 125 125
211 125 125
212 125 125
213 125 125
214 125 125
215 125 125
216 125 125
217 125 125
218 125 125
219 125 125
220 125 125
221 125 125
222 125 125
223 125 125
224 125 125
225 125 125
226 125 125
227 125 125
228 125 125
229 125 125
230 125 125
231 125 125
232 125 125
233 125 125
234 125 125
235 125 125
236 125 125
237 125 125
238 125 125
239 125 125
240 125 125
241 125 125
242 125 125
243 125 125
244 125 125
245 125 125
246 125 125
247 125 125
248 125 125
249 125 125
250 125 125
251 125 125
252 125 125
253 125 125
254 125 125
255 125 125
256 125 125
257 125 125
258 125 125
259 125 125
260 125 125
261 125 125
262 125 125
263 125 125
264 125 125
265 125 125
266 125 125
267 125 125
268 125 125
269 125 125
270 125 125
271 125 125
272 125 125
273 125 125
274 125 125
275 125 125
276 125 125
277 125 125
278 125 125
279 125 125
280 125 125
281 125 125
282 125 125
283 125 125
284 125 125
285 125 125
286 125 125
287 125 125
288 125 125
289 125 125
290 125 125
291 125 125
292 125 125
293 125 125
294 125 125
295 125 125
296 125 125
297 125 125
298 125 125
299 125 125
300 125 125
301 125 125
302 125 125
303 125 125
304 125 125
305 125 125
306 125 125
307 125 125
308 125 125
309 125 125
310 125 125
311 125 125
312 125 125
313 125 125
314 125 125
315 125 125
316 125 125
317 125 125
318 125 125
319 125 125
320 125 125
321 125 125
322 125 125
323 125 125
324 125 125
325 125 125
326 125 125
327 125 125
328 125 125
329 125 125
330 125 125
331 125 125
332 125 125
333 125 125
334 125 125
335 125 125
336 125 125
337 125 125
338 125 125
339 125 125
340 125 125
341 125 125
342 125 125
343 125 125
344 125 125
345 125 125
346 125 125
347 125 125
348 125 125
349 125 125
350 125 125
351 125 125
352 125 125
353 125 125
354 125 125
355 125 125
356 125 125
357 125 125
358 125 125
359 125 125
360 125 125
361 125 125
362 125 125
363 125 125
364 125 125
365 125 125
366 125 125
367 125 125
368 125 125
369 125 125
370 125 125
371 125 125
372 125 125
373 125 125
374 125 125
375 125 125
376 125 125
377 125 125
378 125 125
379 125 125
380 125 125
381 125 125
382 125 125
383 125 125
384 125 125
385 125 125
386 125 125
387 125 125
388 125 125
389 125 125
390 125 125
391 125 125
392 125 125
393 125 125
394 125 125
395 125 125
396 125 125
397 125 125
398 125 125
399 125 125
400 125 125
401 125 125
402 125 125
403 125 125
404 125 125
405 125 125
406 125 125
407 125 125
408 125 125
409 125 125
410 125 125
411 125 125
412 125 125
413 125 125
414 125 125
415 125 125
416 125 125
417 125 125
418 125 125
419 125 125
420 125 125
421 125 125
422 125 125
423 125 125
424 125 125
425 125 125
426 125 125
427 125 125
428 125 125
429 125 125
430 125 125
431 125 125
432 125 125
433 125 125
434 125 125
435 125 125
436 125 125
437 125 125
438 125 125
439 125 125
440 125 125
441 125 125
442 125 125
443 125 125
444 125 125
445 125 125
446 125 125
447 125 125
448 125 125
449 125 125
450 125 125
451 125 125
452 125 125
453 125 125
454 125 125
455 125 125
456 125 125
457 125 125
458 125 125
459 125 125
460 125 125
461 125 125
462 125 125
463 125 125
464 125 125
465 125 125
466 125 125
467 125 125
468 125 125
469 125 125
470 125 125
471 125 125
472 125 125
473 125 125
474 125 125
475 125 125
476 125 125
477 125 125
478 125 125
479 125 125
480 125 125
481 125 125
482 125 125
483 125 125
484 125 125
485 125 125
486 125 125
487 125 125
488 125 125
489 125 125
490 125 125
491 125 125
492 125 125
493 125 125
494 125 125
495 125 125
496 125 125
497 125 125
498 125 125
499 125 125
500 125 125
501 125 125
502 125 125
503 125 125
504 125 125
505 125 125
506 125 125
507 125 125
508 125 125
509 125 125
510 125 125
511 125 125
512 125 125
513 125 125
514 125 125
515 125 125
516 125 125
517 125 125
518 125 125
519 125 125
520 125 125
521 125 125
522 125 125
523 125 125
524 125 125
525 125 125
526 125 125
527 125 125
528 125 125
529 125 125
530 125 125
531 125 125
532 125 125
533 125 125
534 125 125
535 125 125
536 125 125
537 125 125
538 125 125
539 125 125
540 125 125
541 125 125
542 125 125
543 125 125
544 125 125
545 125 125
546 125 125
547 125 125
548 125 125
549 125 125
550 125 125
551 125 125
552 125 125
553 125 125
554 125 125
555 125 125
556 125 125
557 125 125
558 125 125
559 125 125
560 125 125
561 125 125
562 125 125
563 125 125
564 125 125
565 125 125
566 125 125
567 125 125
568 125 125
569 125 125
570 125 125
571 125 125
572 125 125
573 125 125
574 125 125
575 125 125
576 125 125
577 125 125
578 125 125
579 125 125
580 125 125
581 125 125
582 125 125
583 125 125
584 125 125
585 125 125
586 125 125
587 125 125
588 125 125
589 125 125
590 125 125
591 125 125
592 125 125
593 125 125
594 125 125
595 125 125
596 125 125
597 125 125
598 125 125
599 125 125
600 125 125
601 125 125
602 125 125
603 125 125
604 125 125
605 125 125
606 125 125
607 125 125
608 125 125
609 125 125
610 125 125
611 125 125
612 125 125
613 125 125
614 125 125
615 125 125
616 125 125
617 125 125
618 125 125
619 125 125
620 125 125
621 125 125
622 125 125
623 125 125
624 125 125
625 125 125
626 125 125
627 125 125
628 125 125
629 125 125
630 125 125
631 125 125
632 125 125
633 125 125
634 125 125
635 125 125
636 125 125
637 125 125
638 125 125
639 125 125
640 125 125
641 125 125
642 125 125
643 125 125
644 125 125
645 125 125
646 125 125
647 125 125
648 125 125
649 125 125
650 125 125
651 125 125
652 125 125
653 125 125
654 125 125
655 125 125
656 125 125
657 125 125
658 125 125
659 125 125
660 125 125
661 125 125
662 125 125
663 125 125
664 125 125
665 125 125
666 125 125
667 125 125
668 125 125
669 125 125
670 125 125
671 125 125
672 125 125
673 125 125
674 125 125
675 125 125
676 125 125
677 125 125
678 125 125
679 125 125
680 125 125
681 125 125
682 125 125
683 125 125
684 125 125
685 125 125
686 125 125
687 125 125
688 125 125
689 125 125
690 125 125
691 125 125
692 125 125
693 125 125
694 125 125
695 125 125
696 125 125
697 125 125
698 125 125
699 125 125
700 125 125
701 125 125
702 125 125
703 125 125
704 125 125
705 125 125
706 125 125
707 125 125
708 125 125
709 125 125
710 125 125
711 125 125
712 125 125
713 125 125
714 125 125
715 125 125
716 125 125
717 125 125
718 125 125
719 125 125
720 125 125
721 125 125
722 125 125
723 125 125
724 125 125
725 125 125
726 125 125
727 125 125
728 125 125
729 125 125
730 125 125
731 125 125
732 125 125
733 125 125
734 125 125
735 125 125
736 125 125
737 125 125
738 125 125
739 125 125
740 125 125
741 125 125
742 125 125
743 125 125
744 125 125
745 125 125
746 125 125
