iter "mejor iteracion actual" "mejor encontrado"
0 273 272
1 274 273
2 275 274
3 276 275
4 277 276
5 278 277
6 279 278
7 280 279
8 281 280
9 282 281
10 283 282
11 284 283
12 285 284
13 286 285
14 287 286
15 288 287
16 289 288
17 290 289
18 291 290
19 292 291
20 293 292
21 294 293
22 295 294
23 295 295
24 296 295
25 296 296
26 296 296
27 296 296
28 296 296
29 296 296
30 296 296
31 295 296
32 295 296
33 294 296
34 294 296
35 293 296
36 294 296
37 293 296
38 293 296
39 292 296
40 292 296
41 292 296
42 292 296
43 292 296
44 292 296
45 292 296
46 292 296
47 292 296
48 292 296
49 292 296
50 292 296
51 293 296
52 293 296
53 293 296
54 293 296
55 294 296
56 294 296
57 295 296
58 295 296
59 296 296
60 296 296
61 297 296
62 297 297
63 297 297
64 297 297
65 297 297
66 297 297
67 297 297
68 298 297
69 298 298
70 298 298
71 298 298
72 298 298
73 298 298
74 299 298
75 298 299
76 298 299
77 297 299
78 298 299
79 297 299
80 296 299
81 297 299
82 296 299
83 295 299
84 295 299
85 295 299
86 294 299
87 294 299
88 295 299
89 295 299
90 296 299
91 296 299
92 296 299
93 296 299
94 296 299
95 297 299
96 296 299
97 297 299
98 296 299
99 296 299
100 296 299
101 296 299
102 296 299
103 296 299
104 295 299
105 294 299
106 294 299
107 296 299
108 296 299
109 297 299
110 296 299
111 297 299
112 296 299
113 297 299
114 297 299
115 296 299
116 296 299
117 296 299
118 296 299
119 295 299
120 295 299
121 295 299
122 295 299
123 295 299
124 295 299
125 295 299
126 295 299
127 294 299
128 294 299
129 293 299
130 292 299
131 292 299
132 292 299
133 292 299
134 293 299
135 293 299
136 294 299
137 294 299
138 294 299
139 294 299
140 294 299
141 294 299
142 295 299
143 295 299
144 295 299
145 295 299
146 295 299
147 295 299
148 295 299
149 295 299
150 296 299
151 296 299
152 296 299
153 296 299
154 296 299
155 297 299
156 296 299
157 297 299
158 296 299
159 296 299
160 296 299
161 296 299
162 296 299
163 296 299
164 297 299
165 297 299
166 296 299
167 296 299
168 296 299
169 296 299
170 297 299
171 296 299
172 296 299
173 296 299
174 297 299
175 296 299
176 296 299
177 296 299
178 296 299
179 297 299
180 297 299
181 298 299
182 297 299
183 298 299
184 297 299
185 296 299
186 296 299
187 296 299
188 296 299
189 296 299
190 296 299
191 296 299
192 296 299
193 296 299
194 296 299
195 296 299
196 296 299
197 297 299
198 296 299
199 297 299
200 296 299
201 297 299
202 297 299
203 297 299
204 297 299
205 296 299
206 297 299
207 296 299
208 296 299
209 296 299
210 296 299
211 296 299
212 296 299
213 296 299
214 295 299
215 296 299
216 296 299
217 295 299
218 295 299
219 296 299
220 296 299
221 297 299
222 296 299
223 296 299
224 296 299
225 297 299
226 296 299
227 296 299
228 296 299
229 296 299
230 296 299
231 296 299
232 296 299
233 297 299
234 296 299
235 297 299
236 297 299
237 297 299
238 298 299
239 298 299
240 298 299
241 298 299
242 298 299
243 298 299
244 298 299
245 298 299
246 298 299
247 297 299
248 297 299
249 297 299
250 297 299
251 298 299
252 298 299
253 298 299
254 298 299
255 298 299
256 299 299
257 298 299
258 298 299
259 298 299
260 299 299
261 298 299
262 299 299
263 298 299
264 297 299
265 297 299
266 297 299
267 296 299
268 296 299
269 296 299
270 296 299
271 296 299
272 296 299
