iter "mejor iteracion actual" "mejor encontrado"
0 918 918
1 917 918
2 917 918
3 918 918
4 918 918
5 915 918
6 916 918
7 918 918
8 919 919
9 921 921
10 921 921
11 921 921
12 922 922
13 921 922
14 922 922
15 924 924
16 924 924
17 924 924
18 925 925
19 926 926
20 925 926
21 927 927
22 927 927
23 927 927
24 929 929
25 928 929
26 929 929
27 930 930
28 930 930
29 932 932
30 932 932
31 933 933
32 931 933
33 931 933
34 933 933
35 931 933
36 932 933
37 932 933
38 933 933
39 937 937
40 936 937
41 939 939
42 940 940
43 940 940
44 942 942
45 943 943
46 943 943
47 945 945
48 947 947
49 949 949
50 948 949
51 948 949
52 950 950
53 950 950
54 949 950
55 947 950
56 946 950
57 945 950
58 946 950
59 946 950
60 947 950
61 947 950
62 949 950
63 948 950
64 948 950
65 948 950
66 948 950
67 945 950
68 944 950
69 943 950
70 941 950
71 941 950
72 940 950
73 939 950
74 939 950
75 939 950
76 938 950
77 938 950
78 942 950
79 943 950
80 944 950
81 946 950
82 951 951
83 950 951
84 950 951
85 948 951
86 946 951
87 946 951
88 946 951
89 946 951
90 947 951
91 946 951
92 944 951
93 947 951
94 947 951
95 948 951
96 948 951
97 949 951
98 948 951
99 946 951
100 950 951
101 951 951
102 951 951
103 951 951
104 951 951
105 951 951
106 950 951
107 952 952
108 952 952
109 952 952
110 955 955
111 955 955
112 955 955
113 955 955
114 954 955
115 955 955
116 953 955
117 953 955
118 955 955
119 953 955
120 953 955
121 950 955
122 951 955
123 954 955
124 954 955
125 955 955
126 956 956
127 956 956
128 958 958
129 960 960
130 963 963
131 964 964
132 965 965
133 965 965
134 965 965
135 962 965
136 963 965
137 965 965
138 965 965
139 965 965
140 965 965
141 966 966
142 966 966
143 967 967
144 963 967
145 963 967
146 964 967
147 965 967
148 963 967
149 963 967
150 965 967
151 965 967
152 965 967
153 968 968
154 970 970
155 970 970
156 970 970
157 970 970
158 968 970
159 968 970
160 968 970
161 969 970
162 969 970
163 966 970
164 967 970
165 963 970
166 963 970
167 965 970
168 965 970
169 965 970
170 965 970
171 966 970
172 966 970
173 966 970
174 967 970
175 969 970
176 969 970
177 968 970
178 970 970
179 974 974
180 974 974
181 974 974
182 974 974
183 974 974
184 974 974
185 975 975
186 975 975
187 974 975
188 976 976
189 975 976
190 975 976
191 974 976
192 973 976
193 973 976
194 972 976
195 972 976
196 972 976
197 972 976
198 971 976
199 971 976
200 971 976
201 971 976
202 971 976
203 971 976
204 972 976
205 974 976
206 973 976
207 973 976
208 975 976
209 973 976
210 974 976
211 974 976
212 974 976
213 978 978
214 977 978
215 977 978
216 978 978
217 976 978
218 976 978
219 976 978
220 976 978
221 976 978
222 976 978
223 978 978
224 977 978
225 978 978
226 978 978
227 978 978
228 978 978
229 978 978
230 978 978
231 980 980
232 980 980
233 980 980
234 980 980
235 980 980
236 981 981
237 981 981
238 982 982
239 982 982
240 982 982
241 982 982
242 984 984
243 984 984
244 985 985
245 985 985
246 985 985
247 985 985
248 985 985
249 985 985
250 985 985
251 985 985
252 985 985
253 985 985
254 986 986
255 989 989
256 992 992
257 992 992
258 992 992
259 992 992
260 993 993
261 997 997
262 997 997
263 997 997
264 999 999
265 999 999
266 1000 1000
267 999 1000
268 999 1000
269 999 1000
270 1000 1000
271 1001 1001
272 1001 1001
273 1003 1003
274 1003 1003
275 1003 1003
276 1003 1003
277 1006 1006
278 1006 1006
279 1006 1006
280 1006 1006
281 1006 1006
282 1006 1006
283 1006 1006
284 1006 1006
285 1006 1006
286 1006 1006
287 1005 1006
288 1006 1006
289 1006 1006
290 1006 1006
291 1006 1006
292 1006 1006
293 1006 1006
294 1006 1006
295 1006 1006
296 1006 1006
297 1006 1006
298 1006 1006
299 1006 1006
300 1006 1006
301 1006 1006
302 1006 1006
303 1007 1007
304 1006 1007
305 1006 1007
306 1006 1007
307 1006 1007
308 1006 1007
309 1007 1007
310 1007 1007
311 1007 1007
312 1007 1007
313 1007 1007
314 1007 1007
315 1007 1007
316 1007 1007
317 1007 1007
318 1006 1007
319 1006 1007
320 1007 1007
321 1007 1007
